Value,Correlation,Variable,Reference,Comparison
"Finance, Insurance, Real Estate",0.78,INDSTRY,diabetes,lipid_metabolism
Services,0.8979,INDSTRY,diabetes,lipid_metabolism
Construction,0.5099,INDSTRY,diabetes,lipid_metabolism
Wholesale,0.4804,INDSTRY,diabetes,lipid_metabolism
"Agriculture, Forestry, Fishing",0.7141,INDSTRY,diabetes,lipid_metabolism
Salary Non-union,0.7786,EECLASS,diabetes,lipid_metabolism
Salary Union,0.6364,EECLASS,diabetes,lipid_metabolism
Salary Other,0.8169,EECLASS,diabetes,lipid_metabolism
Hourly Non-union,0.6809,EECLASS,diabetes,lipid_metabolism
Hourly Union,0.9129,EECLASS,diabetes,lipid_metabolism
Hourly Other,0.574,EECLASS,diabetes,lipid_metabolism
Non-union,0.7154,EECLASS,diabetes,lipid_metabolism
Union,0.7525,EECLASS,diabetes,lipid_metabolism
Unknown,0.8407,EECLASS,diabetes,lipid_metabolism
Active Full Time,0.1438,EESTATU,diabetes,lipid_metabolism
Active Part Time or Seasonal,0.3302,EESTATU,diabetes,lipid_metabolism
Early Retiree,0.8948,EESTATU,diabetes,lipid_metabolism
Medicare Eligible Retiree,0.7708,EESTATU,diabetes,lipid_metabolism
Retiree (status unknown),0.6125,EESTATU,diabetes,lipid_metabolism
COBRA Continuee,0.4384,EESTATU,diabetes,lipid_metabolism
Long Term Disability,0.477,EESTATU,diabetes,lipid_metabolism
Surviving Spouse/Depend.,0.6781,EESTATU,diabetes,lipid_metabolism
Other/Unknown,0.5388,EESTATU,diabetes,lipid_metabolism
"Oil & Gas Extraction, Mining",0.6241,INDSTRY,diabetes,obesity
"Manufacturing, Durable Goods",0.8239,INDSTRY,diabetes,obesity
"Manufacturing, Nondurable Goods",0.8439,INDSTRY,diabetes,obesity
"Transportation, Communications, Utilities",0.8307,INDSTRY,diabetes,obesity
Retail Trade,0.71,INDSTRY,diabetes,obesity
"Finance, Insurance, Real Estate",0.7843,INDSTRY,diabetes,obesity
Services,0.8695,INDSTRY,diabetes,obesity
Construction,0.5855,INDSTRY,diabetes,obesity
Wholesale,0.3921,INDSTRY,diabetes,obesity
"Agriculture, Forestry, Fishing",0.7141,INDSTRY,diabetes,obesity
Salary Non-union,0.7261,EECLASS,diabetes,obesity
Salary Union,0.6087,EECLASS,diabetes,obesity
Salary Other,0.8852,EECLASS,diabetes,obesity
Hourly Non-union,0.7174,EECLASS,diabetes,obesity
Hourly Union,0.7767,EECLASS,diabetes,obesity
Hourly Other,0.7308,EECLASS,diabetes,obesity
Non-union,0.6976,EECLASS,diabetes,obesity
Union,0.7384,EECLASS,diabetes,obesity
Unknown,0.8009,EECLASS,diabetes,obesity
Active Full Time,0.3821,EESTATU,diabetes,obesity
Active Part Time or Seasonal,0.3477,EESTATU,diabetes,obesity
Early Retiree,0.828,EESTATU,diabetes,obesity
Medicare Eligible Retiree,0.8458,EESTATU,diabetes,obesity
Retiree (status unknown),0.6299,EESTATU,diabetes,obesity
COBRA Continuee,0.2543,EESTATU,diabetes,obesity
Long Term Disability,0.4522,EESTATU,diabetes,obesity
Surviving Spouse/Depend.,0.6442,EESTATU,diabetes,obesity
Other/Unknown,0.7177,EESTATU,diabetes,obesity
"Oil & Gas Extraction, Mining",0.4193,INDSTRY,diabetes,schizophrenia
"Manufacturing, Durable Goods",0.6283,INDSTRY,diabetes,schizophrenia
"Manufacturing, Nondurable Goods",0.3139,INDSTRY,diabetes,schizophrenia
"Transportation, Communications, Utilities",0.4606,INDSTRY,diabetes,schizophrenia
Retail Trade,0.3248,INDSTRY,diabetes,schizophrenia
"Finance, Insurance, Real Estate",0.5573,INDSTRY,diabetes,schizophrenia
Services,0.3117,INDSTRY,diabetes,schizophrenia
Construction,0.4464,INDSTRY,diabetes,schizophrenia
Wholesale,-0.0195,INDSTRY,diabetes,schizophrenia
"Agriculture, Forestry, Fishing",-0.0286,INDSTRY,diabetes,schizophrenia
Salary Non-union,0.4159,EECLASS,diabetes,schizophrenia
Salary Union,0.4842,EECLASS,diabetes,schizophrenia
Salary Other,0.3099,EECLASS,diabetes,schizophrenia
Hourly Non-union,0.3109,EECLASS,diabetes,schizophrenia
Hourly Union,0.5682,EECLASS,diabetes,schizophrenia
Hourly Other,0.2684,EECLASS,diabetes,schizophrenia
Non-union,0.5008,EECLASS,diabetes,schizophrenia
Union,0.5735,EECLASS,diabetes,schizophrenia
Unknown,0.5403,EECLASS,diabetes,schizophrenia
Active Full Time,-0.0405,EESTATU,diabetes,schizophrenia
Active Part Time or Seasonal,0.3297,EESTATU,diabetes,schizophrenia
Early Retiree,0.6878,EESTATU,diabetes,schizophrenia
Medicare Eligible Retiree,0.482,EESTATU,diabetes,schizophrenia
Retiree (status unknown),0.2201,EESTATU,diabetes,schizophrenia
COBRA Continuee,0.0495,EESTATU,diabetes,schizophrenia
Long Term Disability,0.4361,EESTATU,diabetes,schizophrenia
Surviving Spouse/Depend.,0.43,EESTATU,diabetes,schizophrenia
Other/Unknown,0.3338,EESTATU,diabetes,schizophrenia
"Oil & Gas Extraction, Mining",0.3764,INDSTRY,diabetes,suicide
"Manufacturing, Durable Goods",0.2422,INDSTRY,diabetes,suicide
"Manufacturing, Nondurable Goods",0.3107,INDSTRY,diabetes,suicide
"Transportation, Communications, Utilities",0.1918,INDSTRY,diabetes,suicide
Retail Trade,0.0311,INDSTRY,diabetes,suicide
"Finance, Insurance, Real Estate",0.2084,INDSTRY,diabetes,suicide
Services,0.5925,INDSTRY,diabetes,suicide
Construction,0.3465,INDSTRY,diabetes,suicide
Wholesale,-0.0453,INDSTRY,diabetes,suicide
"Agriculture, Forestry, Fishing",NA,INDSTRY,diabetes,suicide
Salary Non-union,0.2425,EECLASS,diabetes,suicide
Salary Union,0.2521,EECLASS,diabetes,suicide
Salary Other,0.3794,EECLASS,diabetes,suicide
Hourly Non-union,0.1972,EECLASS,diabetes,suicide
Hourly Union,0.5489,EECLASS,diabetes,suicide
Hourly Other,0.1267,EECLASS,diabetes,suicide
Non-union,0.3846,EECLASS,diabetes,suicide
Union,0.2067,EECLASS,diabetes,suicide
Unknown,0.3723,EECLASS,diabetes,suicide
Active Full Time,0.3212,EESTATU,diabetes,suicide
Active Part Time or Seasonal,0.2971,EESTATU,diabetes,suicide
Early Retiree,0.1209,EESTATU,diabetes,suicide
Medicare Eligible Retiree,0.2396,EESTATU,diabetes,suicide
Retiree (status unknown),0.3184,EESTATU,diabetes,suicide
COBRA Continuee,-0.2621,EESTATU,diabetes,suicide
Long Term Disability,-0.1119,EESTATU,diabetes,suicide
Surviving Spouse/Depend.,0.1321,EESTATU,diabetes,suicide
Other/Unknown,0.2449,EESTATU,diabetes,suicide
"Manufacturing, Durable Goods",0.8575,INDSTRY,drug_dependence,depression
"Manufacturing, Nondurable Goods",0.8045,INDSTRY,drug_dependence,depression
"Transportation, Communications, Utilities",0.8113,INDSTRY,drug_dependence,depression
Retail Trade,0.8114,INDSTRY,drug_dependence,depression
"Finance, Insurance, Real Estate",0.8636,INDSTRY,drug_dependence,depression
Services,0.8608,INDSTRY,drug_dependence,depression
Wholesale,0.6426,INDSTRY,drug_dependence,depression
"Oil & Gas Extraction, Mining",0.7606,INDSTRY,drug_dependence,depression
"Agriculture, Forestry, Fishing",-0.0286,INDSTRY,drug_dependence,depression
Construction,0.7093,INDSTRY,drug_dependence,depression
Salary Non-union,0.6118,EECLASS,drug_dependence,depression
Salary Union,0.5503,EECLASS,drug_dependence,depression
Salary Other,0.6825,EECLASS,drug_dependence,depression
Hourly Non-union,0.7784,EECLASS,drug_dependence,depression
Hourly Union,0.9207,EECLASS,drug_dependence,depression
Hourly Other,0.5959,EECLASS,drug_dependence,depression
Non-union,0.7551,EECLASS,drug_dependence,depression
Union,0.7569,EECLASS,drug_dependence,depression
Unknown,0.919,EECLASS,drug_dependence,depression
Active Full Time,0.459,EESTATU,drug_dependence,depression
Active Part Time or Seasonal,0.6266,EESTATU,drug_dependence,depression
Early Retiree,0.6279,EESTATU,drug_dependence,depression
Medicare Eligible Retiree,0.7407,EESTATU,drug_dependence,depression
Retiree (status unknown),0.5987,EESTATU,drug_dependence,depression
COBRA Continuee,0.219,EESTATU,drug_dependence,depression
Long Term Disability,0.6412,EESTATU,drug_dependence,depression
Surviving Spouse/Depend.,0.7091,EESTATU,drug_dependence,depression
Other/Unknown,0.5709,EESTATU,drug_dependence,depression
"Manufacturing, Durable Goods",0.5465,INDSTRY,drug_dependence,regional_enteritis
"Manufacturing, Nondurable Goods",0.5485,INDSTRY,drug_dependence,regional_enteritis
"Transportation, Communications, Utilities",0.5176,INDSTRY,drug_dependence,regional_enteritis
Retail Trade,0.5294,INDSTRY,drug_dependence,regional_enteritis
"Finance, Insurance, Real Estate",0.5016,INDSTRY,drug_dependence,regional_enteritis
Services,0.7289,INDSTRY,drug_dependence,regional_enteritis
Wholesale,0.2358,INDSTRY,drug_dependence,regional_enteritis
"Oil & Gas Extraction, Mining",0.5225,INDSTRY,drug_dependence,regional_enteritis
"Agriculture, Forestry, Fishing",NA,INDSTRY,drug_dependence,regional_enteritis
Construction,0.4105,INDSTRY,drug_dependence,regional_enteritis
Salary Non-union,0.5566,EECLASS,drug_dependence,regional_enteritis
Salary Union,0.4668,EECLASS,drug_dependence,regional_enteritis
Salary Other,0.5037,EECLASS,drug_dependence,regional_enteritis
Hourly Non-union,0.5084,EECLASS,drug_dependence,regional_enteritis
Hourly Union,0.6282,EECLASS,drug_dependence,regional_enteritis
Hourly Other,0.3393,EECLASS,drug_dependence,regional_enteritis
Non-union,0.419,EECLASS,drug_dependence,regional_enteritis
Union,0.5426,EECLASS,drug_dependence,regional_enteritis
Unknown,0.4739,EECLASS,drug_dependence,regional_enteritis
Active Full Time,0.1354,EESTATU,drug_dependence,regional_enteritis
Active Part Time or Seasonal,0.2524,EESTATU,drug_dependence,regional_enteritis
Early Retiree,0.3805,EESTATU,drug_dependence,regional_enteritis
Medicare Eligible Retiree,0.3625,EESTATU,drug_dependence,regional_enteritis
Retiree (status unknown),0.2831,EESTATU,drug_dependence,regional_enteritis
COBRA Continuee,0.2727,EESTATU,drug_dependence,regional_enteritis
Long Term Disability,0.4727,EESTATU,drug_dependence,regional_enteritis
Surviving Spouse/Depend.,0.5197,EESTATU,drug_dependence,regional_enteritis
Other/Unknown,0.2728,EESTATU,drug_dependence,regional_enteritis
"Manufacturing, Durable Goods",0.7144,INDSTRY,drug_dependence,alcohol_dependence
"Manufacturing, Nondurable Goods",0.846,INDSTRY,drug_dependence,alcohol_dependence
"Transportation, Communications, Utilities",0.6588,INDSTRY,drug_dependence,alcohol_dependence
Retail Trade,0.7772,INDSTRY,drug_dependence,alcohol_dependence
"Finance, Insurance, Real Estate",0.8167,INDSTRY,drug_dependence,alcohol_dependence
Services,0.7674,INDSTRY,drug_dependence,alcohol_dependence
Wholesale,0.4343,INDSTRY,drug_dependence,alcohol_dependence
"Oil & Gas Extraction, Mining",0.6125,INDSTRY,drug_dependence,alcohol_dependence
"Agriculture, Forestry, Fishing",0.7141,INDSTRY,drug_dependence,alcohol_dependence
Construction,0.5933,INDSTRY,drug_dependence,alcohol_dependence
Salary Non-union,0.7258,EECLASS,drug_dependence,alcohol_dependence
Salary Union,0.596,EECLASS,drug_dependence,alcohol_dependence
Salary Other,0.5395,EECLASS,drug_dependence,alcohol_dependence
Hourly Non-union,0.6875,EECLASS,drug_dependence,alcohol_dependence
Hourly Union,0.7765,EECLASS,drug_dependence,alcohol_dependence
Hourly Other,0.5982,EECLASS,drug_dependence,alcohol_dependence
Non-union,0.8846,EECLASS,drug_dependence,alcohol_dependence
Union,0.48,EECLASS,drug_dependence,alcohol_dependence
Unknown,0.8708,EECLASS,drug_dependence,alcohol_dependence
Active Full Time,0.7417,EESTATU,drug_dependence,alcohol_dependence
Active Part Time or Seasonal,0.4775,EESTATU,drug_dependence,alcohol_dependence
Early Retiree,0.6607,EESTATU,drug_dependence,alcohol_dependence
Medicare Eligible Retiree,0.482,EESTATU,drug_dependence,alcohol_dependence
Retiree (status unknown),0.6348,EESTATU,drug_dependence,alcohol_dependence
COBRA Continuee,0.5343,EESTATU,drug_dependence,alcohol_dependence
Long Term Disability,0.5497,EESTATU,drug_dependence,alcohol_dependence
Surviving Spouse/Depend.,0.4755,EESTATU,drug_dependence,alcohol_dependence
Other/Unknown,0.4434,EESTATU,drug_dependence,alcohol_dependence
"Manufacturing, Durable Goods",0.786,INDSTRY,drug_dependence,anxiety
"Manufacturing, Nondurable Goods",0.8511,INDSTRY,drug_dependence,anxiety
"Transportation, Communications, Utilities",0.6853,INDSTRY,drug_dependence,anxiety
Retail Trade,0.7974,INDSTRY,drug_dependence,anxiety
"Finance, Insurance, Real Estate",0.7504,INDSTRY,drug_dependence,anxiety
Services,0.7813,INDSTRY,drug_dependence,anxiety
Wholesale,0.4928,INDSTRY,drug_dependence,anxiety
"Oil & Gas Extraction, Mining",0.7697,INDSTRY,drug_dependence,anxiety
"Agriculture, Forestry, Fishing",NA,INDSTRY,drug_dependence,anxiety
Construction,0.6224,INDSTRY,drug_dependence,anxiety
Salary Non-union,0.7864,EECLASS,drug_dependence,anxiety
Salary Union,0.5947,EECLASS,drug_dependence,anxiety
Salary Other,0.5842,EECLASS,drug_dependence,anxiety
Hourly Non-union,0.7909,EECLASS,drug_dependence,anxiety
Hourly Union,0.7945,EECLASS,drug_dependence,anxiety
Hourly Other,0.6148,EECLASS,drug_dependence,anxiety
Non-union,0.804,EECLASS,drug_dependence,anxiety
Union,0.7626,EECLASS,drug_dependence,anxiety
Unknown,0.7668,EECLASS,drug_dependence,anxiety
Active Full Time,0.5471,EESTATU,drug_dependence,anxiety
Active Part Time or Seasonal,0.754,EESTATU,drug_dependence,anxiety
Early Retiree,0.6569,EESTATU,drug_dependence,anxiety
Medicare Eligible Retiree,0.5861,EESTATU,drug_dependence,anxiety
Retiree (status unknown),0.2283,EESTATU,drug_dependence,anxiety
COBRA Continuee,0.1116,EESTATU,drug_dependence,anxiety
Long Term Disability,0.6565,EESTATU,drug_dependence,anxiety
Surviving Spouse/Depend.,0.3948,EESTATU,drug_dependence,anxiety
Other/Unknown,0.3932,EESTATU,drug_dependence,anxiety
"Manufacturing, Durable Goods",0.7328,INDSTRY,drug_dependence,bipolar
"Manufacturing, Nondurable Goods",0.6517,INDSTRY,drug_dependence,bipolar
"Transportation, Communications, Utilities",0.8003,INDSTRY,drug_dependence,bipolar
Retail Trade,0.6679,INDSTRY,drug_dependence,bipolar
"Finance, Insurance, Real Estate",0.5976,INDSTRY,drug_dependence,bipolar
Services,0.8243,INDSTRY,drug_dependence,bipolar
Wholesale,0.2984,INDSTRY,drug_dependence,bipolar
"Oil & Gas Extraction, Mining",0.4796,INDSTRY,drug_dependence,bipolar
"Agriculture, Forestry, Fishing",NA,INDSTRY,drug_dependence,bipolar
Construction,0.3228,INDSTRY,drug_dependence,bipolar
Salary Non-union,0.6476,EECLASS,drug_dependence,bipolar
Salary Union,0.6165,EECLASS,drug_dependence,bipolar
Salary Other,0.5725,EECLASS,drug_dependence,bipolar
Hourly Non-union,0.6733,EECLASS,drug_dependence,bipolar
Hourly Union,0.8361,EECLASS,drug_dependence,bipolar
Hourly Other,0.3063,EECLASS,drug_dependence,bipolar
Non-union,0.6917,EECLASS,drug_dependence,bipolar
Union,0.734,EECLASS,drug_dependence,bipolar
Unknown,0.585,EECLASS,drug_dependence,bipolar
Active Full Time,0.1824,EESTATU,drug_dependence,bipolar
Active Part Time or Seasonal,0.0684,EESTATU,drug_dependence,bipolar
Early Retiree,0.6643,EESTATU,drug_dependence,bipolar
Medicare Eligible Retiree,0.6856,EESTATU,drug_dependence,bipolar
Retiree (status unknown),0.5033,EESTATU,drug_dependence,bipolar
COBRA Continuee,0.4315,EESTATU,drug_dependence,bipolar
Long Term Disability,0.582,EESTATU,drug_dependence,bipolar
Surviving Spouse/Depend.,0.7744,EESTATU,drug_dependence,bipolar
Other/Unknown,0.5548,EESTATU,drug_dependence,bipolar
"Manufacturing, Durable Goods",0.9072,INDSTRY,drug_dependence,diabetes
"Manufacturing, Nondurable Goods",0.7824,INDSTRY,drug_dependence,diabetes
"Transportation, Communications, Utilities",0.747,INDSTRY,drug_dependence,diabetes
Retail Trade,0.6362,INDSTRY,drug_dependence,diabetes
"Finance, Insurance, Real Estate",0.7138,INDSTRY,drug_dependence,diabetes
Services,0.7784,INDSTRY,drug_dependence,diabetes
Wholesale,0.428,INDSTRY,drug_dependence,diabetes
"Oil & Gas Extraction, Mining",0.8051,INDSTRY,drug_dependence,diabetes
"Agriculture, Forestry, Fishing",0.5,INDSTRY,drug_dependence,diabetes
Construction,0.4224,INDSTRY,drug_dependence,diabetes
Salary Non-union,0.6645,EECLASS,drug_dependence,diabetes
Salary Union,0.8593,EECLASS,drug_dependence,diabetes
Salary Other,0.6004,EECLASS,drug_dependence,diabetes
Hourly Non-union,0.7554,EECLASS,drug_dependence,diabetes
Hourly Union,0.8991,EECLASS,drug_dependence,diabetes
Hourly Other,0.5731,EECLASS,drug_dependence,diabetes
Non-union,0.7324,EECLASS,drug_dependence,diabetes
Union,0.7588,EECLASS,drug_dependence,diabetes
Unknown,0.8025,EECLASS,drug_dependence,diabetes
Active Full Time,-0.0077,EESTATU,drug_dependence,diabetes
Active Part Time or Seasonal,0.2642,EESTATU,drug_dependence,diabetes
Early Retiree,0.8695,EESTATU,drug_dependence,diabetes
Medicare Eligible Retiree,0.5884,EESTATU,drug_dependence,diabetes
Retiree (status unknown),0.71,EESTATU,drug_dependence,diabetes
COBRA Continuee,0.2493,EESTATU,drug_dependence,diabetes
Long Term Disability,0.3551,EESTATU,drug_dependence,diabetes
Surviving Spouse/Depend.,0.6298,EESTATU,drug_dependence,diabetes
Other/Unknown,0.4439,EESTATU,drug_dependence,diabetes
"Manufacturing, Durable Goods",0.8686,INDSTRY,drug_dependence,hypertension
"Manufacturing, Nondurable Goods",0.8096,INDSTRY,drug_dependence,hypertension
"Transportation, Communications, Utilities",0.7003,INDSTRY,drug_dependence,hypertension
Retail Trade,0.8221,INDSTRY,drug_dependence,hypertension
"Finance, Insurance, Real Estate",0.7748,INDSTRY,drug_dependence,hypertension
Services,0.802,INDSTRY,drug_dependence,hypertension
Wholesale,0.4648,INDSTRY,drug_dependence,hypertension
"Oil & Gas Extraction, Mining",0.8311,INDSTRY,drug_dependence,hypertension
"Agriculture, Forestry, Fishing",0.7141,INDSTRY,drug_dependence,hypertension
Construction,0.6244,INDSTRY,drug_dependence,hypertension
Salary Non-union,0.5971,EECLASS,drug_dependence,hypertension
Salary Union,0.7146,EECLASS,drug_dependence,hypertension
Salary Other,0.7185,EECLASS,drug_dependence,hypertension
Hourly Non-union,0.6959,EECLASS,drug_dependence,hypertension
Hourly Union,0.892,EECLASS,drug_dependence,hypertension
Hourly Other,0.6786,EECLASS,drug_dependence,hypertension
Non-union,0.7792,EECLASS,drug_dependence,hypertension
Union,0.7478,EECLASS,drug_dependence,hypertension
Unknown,0.8339,EECLASS,drug_dependence,hypertension
Active Full Time,-0.1687,EESTATU,drug_dependence,hypertension
Active Part Time or Seasonal,0.6573,EESTATU,drug_dependence,hypertension
Early Retiree,0.8954,EESTATU,drug_dependence,hypertension
Medicare Eligible Retiree,0.7134,EESTATU,drug_dependence,hypertension
Retiree (status unknown),0.7137,EESTATU,drug_dependence,hypertension
COBRA Continuee,0.4343,EESTATU,drug_dependence,hypertension
Long Term Disability,0.3573,EESTATU,drug_dependence,hypertension
Surviving Spouse/Depend.,0.6478,EESTATU,drug_dependence,hypertension
Other/Unknown,0.5804,EESTATU,drug_dependence,hypertension
"Manufacturing, Durable Goods",0.834,INDSTRY,drug_dependence,lipid_metabolism
"Manufacturing, Nondurable Goods",0.8103,INDSTRY,drug_dependence,lipid_metabolism
"Transportation, Communications, Utilities",0.8136,INDSTRY,drug_dependence,lipid_metabolism
Retail Trade,0.718,INDSTRY,drug_dependence,lipid_metabolism
"Finance, Insurance, Real Estate",0.7881,INDSTRY,drug_dependence,lipid_metabolism
Services,0.778,INDSTRY,drug_dependence,lipid_metabolism
Wholesale,0.3448,INDSTRY,drug_dependence,lipid_metabolism
"Oil & Gas Extraction, Mining",0.8227,INDSTRY,drug_dependence,lipid_metabolism
"Agriculture, Forestry, Fishing",0.7141,INDSTRY,drug_dependence,lipid_metabolism
Construction,0.5494,INDSTRY,drug_dependence,lipid_metabolism
Salary Non-union,0.7552,EECLASS,drug_dependence,lipid_metabolism
Salary Union,0.7011,EECLASS,drug_dependence,lipid_metabolism
Salary Other,0.6596,EECLASS,drug_dependence,lipid_metabolism
Hourly Non-union,0.8301,EECLASS,drug_dependence,lipid_metabolism
Hourly Union,0.8976,EECLASS,drug_dependence,lipid_metabolism
Hourly Other,0.655,EECLASS,drug_dependence,lipid_metabolism
Non-union,0.7837,EECLASS,drug_dependence,lipid_metabolism
Union,0.7171,EECLASS,drug_dependence,lipid_metabolism
Unknown,0.8149,EECLASS,drug_dependence,lipid_metabolism
Active Full Time,0.2611,EESTATU,drug_dependence,lipid_metabolism
Active Part Time or Seasonal,0.6086,EESTATU,drug_dependence,lipid_metabolism
Early Retiree,0.8836,EESTATU,drug_dependence,lipid_metabolism
Medicare Eligible Retiree,0.5694,EESTATU,drug_dependence,lipid_metabolism
Retiree (status unknown),0.5407,EESTATU,drug_dependence,lipid_metabolism
COBRA Continuee,0.2517,EESTATU,drug_dependence,lipid_metabolism
Long Term Disability,0.6037,EESTATU,drug_dependence,lipid_metabolism
Surviving Spouse/Depend.,0.7228,EESTATU,drug_dependence,lipid_metabolism
Other/Unknown,0.786,EESTATU,drug_dependence,lipid_metabolism
"Manufacturing, Durable Goods",0.7802,INDSTRY,drug_dependence,obesity
"Manufacturing, Nondurable Goods",0.7686,INDSTRY,drug_dependence,obesity
"Transportation, Communications, Utilities",0.6825,INDSTRY,drug_dependence,obesity
Retail Trade,0.6761,INDSTRY,drug_dependence,obesity
"Finance, Insurance, Real Estate",0.634,INDSTRY,drug_dependence,obesity
Services,0.8327,INDSTRY,drug_dependence,obesity
Wholesale,0.4962,INDSTRY,drug_dependence,obesity
"Oil & Gas Extraction, Mining",0.5886,INDSTRY,drug_dependence,obesity
"Agriculture, Forestry, Fishing",0.7141,INDSTRY,drug_dependence,obesity
Construction,0.5743,INDSTRY,drug_dependence,obesity
Salary Non-union,0.6383,EECLASS,drug_dependence,obesity
Salary Union,0.5042,EECLASS,drug_dependence,obesity
Salary Other,0.7295,EECLASS,drug_dependence,obesity
Hourly Non-union,0.6657,EECLASS,drug_dependence,obesity
Hourly Union,0.8233,EECLASS,drug_dependence,obesity
Hourly Other,0.6216,EECLASS,drug_dependence,obesity
Non-union,0.6361,EECLASS,drug_dependence,obesity
Union,0.6375,EECLASS,drug_dependence,obesity
Unknown,0.8042,EECLASS,drug_dependence,obesity
Active Full Time,0.2473,EESTATU,drug_dependence,obesity
Active Part Time or Seasonal,0.5501,EESTATU,drug_dependence,obesity
Early Retiree,0.8389,EESTATU,drug_dependence,obesity
Medicare Eligible Retiree,0.5187,EESTATU,drug_dependence,obesity
Retiree (status unknown),0.4645,EESTATU,drug_dependence,obesity
COBRA Continuee,0.4257,EESTATU,drug_dependence,obesity
Long Term Disability,0.4047,EESTATU,drug_dependence,obesity
Surviving Spouse/Depend.,0.6353,EESTATU,drug_dependence,obesity
Other/Unknown,0.4949,EESTATU,drug_dependence,obesity
"Manufacturing, Durable Goods",0.6487,INDSTRY,drug_dependence,schizophrenia
"Manufacturing, Nondurable Goods",0.3165,INDSTRY,drug_dependence,schizophrenia
"Transportation, Communications, Utilities",0.4118,INDSTRY,drug_dependence,schizophrenia
Retail Trade,0.35,INDSTRY,drug_dependence,schizophrenia
"Finance, Insurance, Real Estate",0.3893,INDSTRY,drug_dependence,schizophrenia
Services,0.3573,INDSTRY,drug_dependence,schizophrenia
Wholesale,-0.0055,INDSTRY,drug_dependence,schizophrenia
"Oil & Gas Extraction, Mining",0.4365,INDSTRY,drug_dependence,schizophrenia
"Agriculture, Forestry, Fishing",0.6856,INDSTRY,drug_dependence,schizophrenia
Construction,0.3171,INDSTRY,drug_dependence,schizophrenia
Salary Non-union,0.3228,EECLASS,drug_dependence,schizophrenia
Salary Union,0.4847,EECLASS,drug_dependence,schizophrenia
Salary Other,0.2469,EECLASS,drug_dependence,schizophrenia
Hourly Non-union,0.3533,EECLASS,drug_dependence,schizophrenia
Hourly Union,0.674,EECLASS,drug_dependence,schizophrenia
Hourly Other,0.0075,EECLASS,drug_dependence,schizophrenia
Non-union,0.2403,EECLASS,drug_dependence,schizophrenia
Union,0.4668,EECLASS,drug_dependence,schizophrenia
Unknown,0.4823,EECLASS,drug_dependence,schizophrenia
Active Full Time,0.1087,EESTATU,drug_dependence,schizophrenia
Active Part Time or Seasonal,0.3035,EESTATU,drug_dependence,schizophrenia
Early Retiree,0.5873,EESTATU,drug_dependence,schizophrenia
Medicare Eligible Retiree,0.4708,EESTATU,drug_dependence,schizophrenia
Retiree (status unknown),0.3386,EESTATU,drug_dependence,schizophrenia
COBRA Continuee,0.2263,EESTATU,drug_dependence,schizophrenia
Long Term Disability,0.4163,EESTATU,drug_dependence,schizophrenia
Surviving Spouse/Depend.,0.5248,EESTATU,drug_dependence,schizophrenia
Other/Unknown,-0.0749,EESTATU,drug_dependence,schizophrenia
"Manufacturing, Durable Goods",0.1597,INDSTRY,drug_dependence,suicide
"Manufacturing, Nondurable Goods",0.2864,INDSTRY,drug_dependence,suicide
"Transportation, Communications, Utilities",0.0721,INDSTRY,drug_dependence,suicide
Retail Trade,0.1111,INDSTRY,drug_dependence,suicide
"Finance, Insurance, Real Estate",0.0687,INDSTRY,drug_dependence,suicide
Services,0.617,INDSTRY,drug_dependence,suicide
Wholesale,0.1591,INDSTRY,drug_dependence,suicide
"Oil & Gas Extraction, Mining",0.3664,INDSTRY,drug_dependence,suicide
"Agriculture, Forestry, Fishing",NA,INDSTRY,drug_dependence,suicide
Construction,0.2864,INDSTRY,drug_dependence,suicide
Salary Non-union,0.2179,EECLASS,drug_dependence,suicide
Salary Union,0.2186,EECLASS,drug_dependence,suicide
Salary Other,0.3589,EECLASS,drug_dependence,suicide
Hourly Non-union,0.1981,EECLASS,drug_dependence,suicide
Hourly Union,0.5698,EECLASS,drug_dependence,suicide
Hourly Other,0.123,EECLASS,drug_dependence,suicide
Non-union,0.1862,EECLASS,drug_dependence,suicide
Union,0.3708,EECLASS,drug_dependence,suicide
Unknown,0.457,EECLASS,drug_dependence,suicide
Active Full Time,0.3593,EESTATU,drug_dependence,suicide
Active Part Time or Seasonal,0.0797,EESTATU,drug_dependence,suicide
Early Retiree,0.0374,EESTATU,drug_dependence,suicide
Medicare Eligible Retiree,0.2686,EESTATU,drug_dependence,suicide
Retiree (status unknown),0.3245,EESTATU,drug_dependence,suicide
COBRA Continuee,-0.1132,EESTATU,drug_dependence,suicide
Long Term Disability,0.0405,EESTATU,drug_dependence,suicide
Surviving Spouse/Depend.,0.1632,EESTATU,drug_dependence,suicide
Other/Unknown,-0.0615,EESTATU,drug_dependence,suicide
"Oil & Gas Extraction, Mining",0.7396,INDSTRY,hypertension,depression
"Manufacturing, Durable Goods",0.743,INDSTRY,hypertension,depression
"Manufacturing, Nondurable Goods",0.8368,INDSTRY,hypertension,depression
"Transportation, Communications, Utilities",0.696,INDSTRY,hypertension,depression
Retail Trade,0.6535,INDSTRY,hypertension,depression
"Finance, Insurance, Real Estate",0.6887,INDSTRY,hypertension,depression
Services,0.7217,INDSTRY,hypertension,depression
Wholesale,0.4935,INDSTRY,hypertension,depression
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,hypertension,depression
Construction,0.5695,INDSTRY,hypertension,depression
